date,result
1988-08-08,8049
1988-08-11,6919
1988-08-15,0675
1988-08-18,7615
1988-08-22,3162
1988-08-25,5292
1988-08-29,4421
1988-09-01,6418
1988-09-05,7157
1988-09-08,7083
1988-09-12,5535
1988-09-15,1232
1988-09-19,7653
1988-09-22,0486
1988-09-26,7120
1988-09-29,5801
1988-10-03,1226
1988-10-06,8617
1988-10-10,4006
1988-10-13,7944
1988-10-17,3183
1988-10-20,1587
1988-10-24,9694
1988-10-27,8974
1988-10-31,7569
1988-11-03,9054
1988-11-07,7502
1988-11-10,3068
1988-11-14,3584
1988-11-17,5140
1988-11-21,4356
1988-11-24,8529
1988-11-28,7585
1988-12-01,8707
1988-12-05,3507
1988-12-08,5752
1988-12-12,4152
1988-12-15,8636
1988-12-19,6343
1988-12-22,0449
1988-12-26,9262
1988-12-29,9817
1989-01-02,2315
1989-01-05,0471
1989-01-09,0852
1989-01-12,8817
1989-01-16,5508
1989-01-19,0063
1989-01-23,4011
1989-01-26,7523
1989-01-30,2944
1989-02-02,8149
1989-02-06,4533
1989-02-09,4571
1989-02-13,0284
1989-02-16,9067
1989-02-20,8820
1989-02-23,6206
1989-02-27,4824
1989-03-02,5526
1989-03-06,0431
1989-03-09,5785
1989-03-13,1327
1989-03-16,7965
1989-03-20,9849
1989-03-23,5964
1989-03-27,3837
1989-03-30,5172
1989-04-03,1299
1989-04-06,7124
1989-04-10,7876
1989-04-13,3572
1989-04-17,9818
1989-04-20,0987
1989-04-24,5633
1989-04-27,2050
1989-05-01,0898
1989-05-04,1530
1989-05-08,9388
1989-05-11,2171
1989-05-15,5481
1989-05-18,6375
1989-05-22,3360
1989-05-25,4872
1989-05-29,6014
1989-06-01,4157
1989-06-05,6566
1989-06-08,7893
1989-06-12,1583
1989-06-15,2060
1989-06-19,8174
1989-06-22,0500
1989-06-26,8665
1989-06-29,6127
1989-07-03,5245
1989-07-06,7628
1989-07-10,3131
1989-07-13,5084
1989-07-17,9580
1989-07-20,5224
1989-07-24,2018
1989-07-27,9013
1989-07-31,6944
1989-08-03,2945
1989-08-07,4625
1989-08-10,8504
1989-08-14,3762
1989-08-17,0415
1989-08-21,9784
1989-08-24,8569
1989-08-28,8584
1989-08-31,2190
1989-09-04,5404
1989-09-07,4800
1989-09-11,1830
1989-09-14,9669
1989-09-18,6154
1989-09-21,8569
1989-09-25,9475
1989-09-28,9550
1989-10-02,4937
1989-10-05,0585
1989-10-09,0897
1989-10-12,6198
1989-10-16,0066
1989-10-19,7871
1989-10-23,8780
1989-10-26,9652
1989-10-30,5290
1989-11-02,4347
1989-11-06,3663
1989-11-09,3995
1989-11-13,2840
1989-11-16,6187
1989-11-20,3781
1989-11-23,5683
1989-11-27,9651
1989-11-30,9004
1989-12-04,7079
1989-12-07,1382
1989-12-11,7113
1989-12-14,7343
1989-12-18,2761
1989-12-21,7794
1989-12-25,9199
1989-12-28,9386
1990-01-01,7995
1990-01-04,2148
1990-01-08,2753
1990-01-11,5922
1990-01-15,1846
1990-01-18,0711
1990-01-22,6537
1990-01-25,8398
1990-01-29,7896
1990-02-01,3606
1990-02-05,1669
1990-02-08,1451
1990-02-12,0724
1990-02-15,3561
1990-02-19,2357
1990-02-22,1457
1990-02-26,2437
1990-03-01,6884
1990-03-05,1377
1990-03-08,4405
1990-03-12,1618
1990-03-15,0170
1990-03-19,4960
1990-03-22,2429
1990-03-26,8822
1990-03-29,5391
1990-04-02,6882
1990-04-05,0342
1990-04-09,5737
1990-04-12,8085
1990-04-16,8787
1990-04-19,4255
1990-04-23,2036
1990-04-26,2818
1990-04-30,7920
1990-05-03,4924
1990-05-07,9642
1990-05-10,6016
1990-05-14,4099
1990-05-17,8878
1990-05-21,6256
1990-05-24,8585
1990-05-28,0604
1990-05-31,0078
1990-06-04,2640
1990-06-07,4179
1990-06-11,4536
1990-06-14,2812
1990-06-18,2161
1990-06-21,3485
1990-06-25,2365
1990-06-28,4743
1990-07-02,5605
1990-07-05,3615
1990-07-09,2532
1990-07-12,4753
1990-07-16,2431
1990-07-19,3189
1990-07-23,3067
1990-07-26,3758
1990-07-30,4349
1990-08-02,5424
1990-08-06,5704
1990-08-09,0159
1990-08-13,8607
1990-08-16,2533
1990-08-20,3721
1990-08-23,4505
1990-08-27,5974
1990-08-30,1480
1990-09-03,5702
1990-09-06,1214
1990-09-10,7175
1990-09-13,9135
1990-09-17,3451
1990-09-20,6877
1990-09-24,8349
1990-09-27,2154
1990-10-01,5603
1990-10-04,1370
1990-10-08,3331
1990-10-11,9492
1990-10-15,5491
1990-10-18,7194
1990-10-22,1712
1990-10-25,2615
1990-10-29,9270
1990-11-01,6035
1990-11-05,6681
1990-11-08,0115
1990-11-12,1577
1990-11-15,5663
1990-11-19,7801
1990-11-22,7859
1990-11-26,7222
1990-11-29,7474
1990-12-03,1280
1990-12-06,1314
1990-12-10,3806
1990-12-13,6895
1990-12-17,8917
1990-12-20,2054
1990-12-24,3002
1990-12-27,1317
1990-12-31,6944
1991-01-03,7356
1991-01-07,3418
1991-01-10,3426
1991-01-14,4519
1991-01-17,4123
1991-01-21,7077
1991-01-24,0346
1991-01-28,3880
1991-01-31,3480
1991-02-04,6814
1991-02-07,3574
1991-02-11,7151
1991-02-14,9250
1991-02-18,8942
1991-02-21,1758
1991-02-25,2698
1991-02-28,6943
1991-03-04,2039
1991-03-07,6727
1991-03-11,1506
1991-03-14,1504
1991-03-18,2347
1991-03-21,2317
1991-03-25,3916
1991-03-28,1556
1991-04-01,8375
1991-04-04,1929
1991-04-08,2529
1991-04-11,3361
1991-04-15,6052
1991-04-18,1144
1991-04-22,9047
1991-04-25,1291
1991-04-29,6737
1991-05-02,3525
1991-05-06,8689
1991-05-09,7277
1991-05-13,2807
1991-05-16,3883
1991-05-20,6170
1991-05-23,7515
1991-05-27,1917
1991-05-30,8932
1991-06-03,5747
1991-06-06,4633
1991-06-10,6461
1991-06-13,9357
1991-06-17,1585
1991-06-20,4879
1991-06-24,1954
1991-06-27,6088
1991-07-01,2034
1991-07-04,5203
1991-07-08,3617
1991-07-11,2863
1991-07-15,5789
1991-07-18,5768
1991-07-22,7086
1991-07-25,1366
1991-07-29,4740
1991-08-01,4280
1991-08-05,9029
1991-08-08,2366
1991-08-12,5462
1991-08-15,1731
1991-08-19,3722
1991-08-22,3055
1991-08-26,4728
1991-08-29,1557
