1986-12-25,8107
1986-12-28,4436
1986-12-29,9092
1987-01-01,1645
1987-01-02,8466
1987-01-05,8160
1987-01-08,3451
1987-01-09,9038
1987-01-12,2741
1987-01-15,7369
1987-01-16,5525
1987-01-19,2731
1987-01-20,3245
1987-01-23,7747
1987-01-26,9604
1987-01-27,8926
1987-01-30,8456
1987-02-02,5113
1987-02-03,1225
1987-02-06,7225
1987-02-07,6221
1987-02-10,9686
1987-02-13,3387
1987-02-14,0759
1987-02-17,5863
1987-02-20,0373
1987-02-21,1222
1987-02-24,7629
1987-02-25,9877
1987-02-28,7627
1987-03-03,9416
1987-03-04,6123
1987-03-07,0900
1987-03-10,7216
1987-03-11,9245
1987-03-14,9067
1987-03-15,5178
1987-03-18,4944
1987-03-21,3689
1987-03-22,9951
1987-03-25,5679
1987-03-28,2156
1987-03-29,9907
1987-04-01,7351
1987-04-02,6793
1987-04-05,6187
1987-04-08,0361
1987-04-09,1198
1987-04-12,7628
1987-04-15,9023
1987-04-16,0470
1987-04-19,8891
1987-04-20,9669
1987-04-23,6389
1987-04-26,6508
1987-04-27,0849
1987-04-30,4549
1987-05-03,3754
1987-05-04,6177
1987-05-07,6004
1987-05-08,8267
1987-05-11,4538
1987-05-14,9146
1987-05-15,3936
1987-05-18,1277
1987-05-21,8752
1987-05-22,4154
1987-05-25,1805
1987-05-26,1890
1987-05-29,5676
1987-06-01,2594
1987-06-02,5188
1987-06-05,1064
1987-06-08,5209
1987-06-09,3491
1987-06-12,7373
1987-06-13,6549
1987-06-16,9239
1987-06-19,9773
1987-06-20,2690
1987-06-23,8609
1987-06-26,1343
1987-06-27,3869
1987-06-30,4379
1987-07-01,2663
1987-07-04,3304
1987-07-07,1570
1987-07-08,1702
1987-07-11,1251
1987-07-14,1281
1987-07-15,7018
1987-07-18,3240
1987-07-19,1205
1987-07-22,0561
1987-07-25,4964
1987-07-26,3669
1987-07-29,8123
1987-08-01,5001
1987-08-02,3813
1987-08-05,8745
1987-08-06,7265
1987-08-09,3232
1987-08-12,6911
1987-08-13,3751
1987-08-16,1286
1987-08-19,1566
1987-08-20,6559
1987-08-23,1950
1987-08-24,9245
1987-08-27,3201
1987-08-30,2142
1987-08-31,4805
1987-09-03,6540
1987-09-06,6937
1987-09-07,7552
1987-09-10,9954
1987-09-11,5671
1987-09-14,5454
1987-09-17,8404
1987-09-18,9915
1987-09-21,8476
1987-09-24,2746
1987-09-25,3131
1987-09-28,3195
1987-09-29,6196
1987-10-02,6482
1987-10-05,6263
1987-10-06,6075
1987-10-09,8040
1987-10-12,9986
1987-10-13,8594
1987-10-16,9850
1987-10-17,3026
1987-10-20,9800
1987-10-23,6873
1987-10-24,6867
1987-10-27,6924
1987-10-30,4969
1987-10-31,3271
1987-11-03,6068
1987-11-04,8822
1987-11-07,0601
1987-11-10,0451
1987-11-11,8383
1987-11-14,0296
1987-11-17,5380
1987-11-18,4699
1987-11-21,6644
1987-11-22,3189
1987-11-25,0989
1987-11-28,4225
1987-11-29,7198
1987-12-02,4577
1987-12-05,8483
1987-12-06,6531
1987-12-09,7016
1987-12-10,1193
1987-12-13,8012
1987-12-16,0912
1987-12-17,2965
1987-12-20,7321
1987-12-23,1231
1987-12-24,6335
1987-12-27,3188
1987-12-28,9190
1987-12-31,2761
1988-01-03,7730
1988-01-04,4881
1988-01-07,8469
1988-01-10,2934
1988-01-11,2216
1988-01-14,4705
1988-01-15,5032
1988-01-18,6022
1988-01-21,1609
1988-01-22,8831
1988-01-25,9657
1988-01-28,3109
1988-01-29,0967
1988-02-01,8746
1988-02-02,2074
1988-02-05,2833
1988-02-08,4046
1988-02-09,0817
1988-02-12,0556
1988-02-15,0741
1988-02-16,3344
1988-02-19,6071
1988-02-20,6042
1988-02-23,3818
1988-02-26,7778
1988-02-27,4337
1988-03-01,4160
1988-03-04,5394
1988-03-05,3336
1988-03-08,8052
1988-03-09,6247
1988-03-12,3830
1988-03-15,1895
1988-03-16,8163
1988-03-19,2885
1988-03-22,2824
1988-03-23,9625
1988-03-26,4676
1988-03-27,9123
1988-03-30,9414
1988-04-02,6372
1988-04-03,8567
1988-04-06,1438
1988-04-09,1794
1988-04-10,8983
1988-04-13,9167
1988-04-14,6259
1988-04-17,7216
1988-04-20,6416
1988-04-21,2057
1988-04-24,5492
1988-04-27,9341
1988-04-28,9549
1988-05-01,8218
1988-05-02,3281
1988-05-05,7782
1988-05-08,8593
1988-05-09,2915
1988-05-12,0065
1988-05-15,7454
1988-05-16,9000
1988-05-19,2579
1988-05-20,7581
1988-05-23,2871
1988-05-26,8353
1988-05-27,3033
1988-05-30,4131
1988-06-02,9698
1988-06-03,3219
1988-06-06,6862
1988-06-07,6093
1988-06-10,9816
1988-06-13,8423
1988-06-14,8207
1988-06-17,8907
1988-06-20,9352
1988-06-21,3210
1988-06-24,4255
1988-06-25,3123
1988-06-28,7295
1988-07-01,9917
1988-07-02,8592
1988-07-05,1602
1988-07-08,3580
1988-07-09,7843
1988-07-12,9501
1988-07-13,0477
1988-07-16,3604
1988-07-19,4853
1988-07-20,4058
1988-07-23,3382
1988-07-26,3936
1988-07-27,7071
1988-07-30,1924
1988-07-31,8202
1988-08-03,3787
1988-08-06,4123
1988-08-07,4024
1988-08-10,6440
1988-08-13,7311
1988-08-14,6173
1988-08-17,9742
1988-08-18,4528
1988-08-21,8803
1988-08-24,1162
1988-08-25,1120
1988-08-28,0600
1988-08-31,3663
1988-09-01,2965
1988-09-04,5192
1988-09-05,4913
1988-09-08,1028
